COGID	L1	L2	L3	L4	ND1	ND2	ND3	ND4	ND5	Description
COG0692	164.24	160.95	174.05	135.39	181.4	163.18	180.92	173.78	196.57	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
COG0693	379.11	413.34	403.14	414.35	467.88	473.07	442.72	535.55	407.48	DJ-1/PfpI family
COG0694	29.24	23.38	20.9	10.73	17.18	20.63	25.49	19.43	18.3	Psort location Cytoplasmic, score
COG0695	87.95	68.63	95.04	53.77	70.19	105.63	67.75	96.99	98.71	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
COG0696	299.95	333.25	321.64	378.2	270.74	292	296.21	286.86	281.22	BPG-independent PGAM N-terminus (iPGM_N)
COG0697	1110.39	1163.41	1076.17	1222.02	1045.56	1072.26	1049.51	1131.61	1050.46	COG COG0697 Permeases of the drug metabolite transporter (DMT) superfamily
COG0698	298.55	239.35	285.07	239.71	251.84	259.61	256.94	252.29	282.69	Ribose/Galactose Isomerase
COG0699	253.78	253.91	254.44	258.6	353.69	300.73	404.95	290.91	296.81	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
COG0700	160.27	139.61	159	113.04	167.57	196.93	172.14	191.98	177.86	PFAM nucleoside recognition domain protein
COG0701	159.5	122.66	149.92	141.85	184.84	178.95	140.78	192.37	137.05	Predicted permease
COG0702	99.94	116.01	98.71	116.54	252.19	223.58	234.86	262.28	196.28	NmrA-like family
COG0703	403.8	389.93	399.32	380.09	367.18	376.94	436.96	351.6	421.72	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
COG0704	160.26	265.37	190.47	299.74	136.18	167.16	134.43	152.9	156.17	PhoU domain
COG0705	372.59	429.91	403.43	409.21	418.59	427.99	394.68	437.79	407.26	Psort location CytoplasmicMembrane, score
COG0706	373	410.24	401.6	402.65	357.7	392.74	360.99	386.12	391.24	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
COG0707	391.86	493.88	475.08	553.08	323.23	366.52	334.56	355.53	335.83	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)
COG0708	346.72	365.77	352.53	398	305.25	259.91	329.31	283.3	227.84	Endonuclease/Exonuclease/phosphatase family
COG0709	22.28	19.65	17.06	19.34	16.1	27.38	37.6	20.48	26.68	Synthesizes selenophosphate from selenide and ATP
COG0710	57.66	127.88	89.51	143.84	54.69	58.02	64.78	49.57	50.62	Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3- dehydroshikimate
COG0711	359.57	344.18	345.5	356.09	332.72	362.18	311.35	349.64	390.81	Psort location Cytoplasmic, score
COG0712	197.66	225.37	209.42	239.13	220.66	194.25	185.57	219.2	225.39	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
COG0713	51.62	84.32	52.91	114.31	70.01	49.33	62.98	73.14	56.68	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
COG0714	974.4	1051.88	969.15	1158.91	1427.43	1495.47	1323.79	1593.38	1464.37	AAA domain (dynein-related subfamily)
COG0715	532.01	506.91	536.81	538.62	372.47	423.53	315.26	401.62	364.4	NMT1/THI5 like
COG0716	799.21	826.48	813.37	778.86	760.41	678.48	834.93	677.57	689.6	4Fe-4S dicluster domain
COG0717	67.32	65.16	61.48	37.66	26.28	25.73	45.63	27.44	24.49	Belongs to the dCTP deaminase family
COG0718	128.5	144.81	137.18	145.14	71.7	82.02	90.92	71.53	91.55	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection
COG0719	328.11	432.07	367.86	518.62	370.65	386.87	341.44	415.84	358	Uncharacterized protein family (UPF0051)
COG0720	71.31	128.96	89.32	155.21	95.27	103.49	93.27	105.05	90.01	Psort location Cytoplasmic, score
COG0721	94.47	99.76	105.48	97.17	78.38	99.32	69.13	82.12	87.17	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
COG0722	172.61	220.85	203.64	253.44	136.89	160.31	120.61	143.33	154.48	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
COG0723	146.13	105.75	138.22	96.94	69.79	58.45	77.29	48.05	57.4	FAD dependent oxidoreductase
COG0724	14.92	83.75	36.15	103.93	7.02	5.91	5.69	5.21	4.31	PFAM RNP-1 like RNA-binding protein
COG0725	29.04	27.98	24.14	19.56	28.04	29.78	49.31	25.51	34.21	Bacterial extracellular solute-binding protein
COG0726	1255.28	1087.71	1242.43	1123.79	998.27	1184.14	1009.41	1087.33	984.34	domain, Protein
COG0727	353.36	389.86	356.05	395.11	310.41	376.28	325.67	361.25	279.8	N-methylation of lysine residues in flagellin K00599
COG0728	71.2	121.93	88.23	144.07	33.99	30.61	42.12	27.74	37.72	Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane
COG0729	75.31	76.92	66.08	101.25	132.53	99.88	104.05	139.8	110.83	Surface antigen
COG0730	421.31	313.88	337	273.13	216.15	262.16	248.56	236.31	239.8	membrane transporter protein
COG0731	79.21	61.62	53.46	88.14	123.61	113.24	116.83	125.03	103.09	radical SAM domain protein
COG0732	976.08	1455.12	1228.33	1177.71	1321.84	1059.42	1192.15	1331.7	908.48	N-6 DNA Methylase
COG0733	411.43	392.63	372.11	399.72	353.31	384.71	343.49	382.12	351.36	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
COG0735	340.26	363.67	366.98	349.67	393.16	394.33	345.07	412.98	377.72	Ferric uptake regulator family
COG0736	40.94	73.37	51.69	99.74	17.1	19.33	21.4	14.09	21	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein
COG0737	725.28	749.85	607.26	864.73	623.55	700.04	884.84	661.13	559.81	nucleotide catabolic process
COG0738	366.93	427.54	376.7	503.44	430.34	432.37	463.1	463.61	467.84	Major Facilitator
COG0739	1422.84	1315.48	1313.3	1399.24	1264.19	1378.07	1359.3	1280.78	1353.52	heme binding
COG0740	804.94	795.97	816.07	841.85	709.21	742.28	790.73	714.06	707.05	Belongs to the peptidase S14 family
COG0741	554.88	409.22	500.91	470.66	405.98	379.28	487.25	394.77	522.13	repeat protein
COG0742	224.9	291.94	285.91	302.16	248.1	262.64	244.06	276.94	242.78	ribosomal rna small subunit methyltransferase
COG0743	242.25	259.7	254.75	292.56	239.32	273.5	244.36	271.01	252.48	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP)
COG0744	216.98	480.58	363.33	494.27	145.08	163.87	163.21	147.93	139.07	PFAM glycosyl transferase, family 51
COG0745	8192.77	7083.78	7866.07	6376.54	7651.55	7500.1	7774.97	7187.77	7570.42	ATPase histidine kinase DNA gyrase B HSP90 domain protein
COG0746	23.31	15.94	12.3	7.55	22.37	19.95	29.71	19.47	23.57	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor
COG0747	516.24	399.86	455.62	386.45	393.21	485.94	397.34	438.58	438.82	Bacterial extracellular solute-binding proteins, family 5 Middle
COG0748	14.36	3.95	0.85	0	0.04	0.07	0.1	0.55	0.48	F420H(2)-dependent quinone reductase
COG0749	665.27	564.15	594.17	622.95	504.94	566.56	583.35	532.43	597.56	DNA polymerase
COG0750	355.2	438.57	388.87	476.43	310.07	345.23	327.43	318.91	344.56	zinc metalloprotease
COG0751	45.15	24.82	32.89	24.99	10.61	14.45	16.97	14.02	15.25	Glycyl-tRNA synthetase beta subunit
COG0752	38.35	19.31	29.1	20.97	8.27	10.27	12.1	10.37	13.76	glycyl-tRNA synthetase alpha subunit
COG0753	81.45	117.09	79.89	153.65	60.69	53.35	62.64	68.89	54.96	Catalase
COG0754	7.58	1.39	0.27	0.26	2.46	3.41	6.67	2.96	4.89	Glutathionylspermidine synthase
COG0755	39.82	142.54	67.76	185.02	48.99	45.11	51.62	61.13	40.53	cytochrome c-type biogenesis protein CcsB
COG0756	261.12	225.58	263.28	210.57	251.31	233.02	242.99	251	226.31	dUTPase
COG0757	162.03	124.53	139.53	137.95	164.1	197.11	185.06	189.92	167.12	Catalyzes a trans-dehydration via an enolate intermediate
COG0758	283.11	321.02	305.15	336.48	321.93	389.06	323.46	381.24	363.49	DNA mediated transformation
COG0759	86.47	96.69	86.02	104.61	64.42	82.55	63.8	74.98	71.27	Could be involved in insertion of integral membrane proteins into the membrane
COG0760	649.26	725.25	638.5	847.79	628.64	581.4	606.85	679.85	566.17	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins
COG0761	244	265.88	250.79	293.21	232.12	259.03	245.38	265.12	226.57	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
COG0762	20.61	13.61	9.66	8	7.46	8.27	10.09	9.33	8.74	YGGT family
COG0763	75.76	117.03	78.28	159.09	109.73	102.75	107.24	121.29	94.19	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
COG0764	231.88	246.65	229.89	271.74	213.74	191.29	216.89	195.58	203.56	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs
COG0765	536.08	555.53	557.35	420.16	336.01	362.9	351.78	312.43	486.07	Abc transporter, permease protein
COG0766	429.48	390.13	442.62	396.25	362.38	432.41	366.93	397.74	410.63	Belongs to the EPSP synthase family. MurA subfamily
COG0767	82	130.01	81.17	174.46	113.3	100.28	108.09	123.92	98.69	Permease MlaE
COG0768	1212.02	1139.62	1242.91	1149.44	1009.65	1176.88	968.13	1084.95	1050.72	Peptidase_C39 like family
COG0769	346	400.28	400.23	418.79	287.1	350.59	319.67	330.68	324.19	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan
COG0770	434.03	453.79	449.68	500.35	462.09	488.62	457.71	493.53	447.52	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein
COG0771	300.01	341.19	324.83	363.55	280.05	322.99	288.9	308.91	294.72	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)
COG0772	788.74	745.32	777.8	719.43	667.94	713.23	667.14	678.83	730.93	Belongs to the SEDS family
COG0773	301.76	430.02	371	490.07	277.8	321.88	290.52	309.01	304.13	Belongs to the MurCDEF family
COG0774	83.89	118.15	78.42	167.91	129.55	110.68	119.3	140.01	107.99	Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis
COG0775	197.28	187.69	213.98	186.7	275.64	301.11	274.05	278.87	346.7	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively
COG0776	454.75	607.28	489.74	676.71	622.56	513.37	586.82	622.92	477.34	regulation of translation
COG0777	160.13	107.89	136.44	104.09	117.17	159.76	144.61	133.63	162.35	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA
COG0778	927.05	1103.45	966.19	1178.51	893.21	854.8	818.52	911.53	825.96	Nitroreductase family
COG0779	178.43	150.87	164.73	139.58	204.33	215.91	199.41	223.39	190.04	Required for maturation of 30S ribosomal subunits
COG0780	66.52	101.07	78.96	115.86	100.47	74.14	92.89	96.21	80.46	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)
COG0781	371.36	450.35	414.62	507.3	350.03	371.93	344.05	363.64	370.04	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
COG0782	321.75	331.83	336.99	385.48	285.06	300.9	274.77	303.01	256.13	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides
COG0783	22.74	11.19	8.4	3.79	7.14	10.93	9.11	10.47	10.15	Belongs to the Dps family
COG0784	1431.95	1188.2	1315.29	1194.8	1221.32	1388.12	1187.85	1292.49	1245.97	Psort location CytoplasmicMembrane, score
COG0785	65.34	54.12	68.99	39.48	32.1	29.98	22.88	31.06	19.98	SCO1/SenC
COG0786	73.05	59.65	55.3	49.98	45.99	36.97	82.8	31.26	96.77	glutamate symporter
COG0787	410.61	437.85	438.72	506.73	338.87	412.38	374.53	386.18	382.2	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
COG0788	10.35	4.52	3.63	2.37	40.18	27.62	41.48	34.6	29.74	Catalyzes the hydrolysis of 10-formyltetrahydrofolate (formyl-FH4) to formate and tetrahydrofolate (FH4)
COG0789	1931.49	1916.61	2020.46	1664.37	1649.69	1588.54	1643.63	1533.77	1412.98	Helix-turn-helix domain
COG0790	772.45	1340.38	908.76	1614.69	679.32	555	699.85	602.89	601.47	Sel1-like repeats.
COG0791	2213.78	1777.95	2064.67	1942.45	1880.19	1876.27	2121.8	1622.9	2167.86	Bacteriophage peptidoglycan hydrolase
COG0792	159.33	175.51	154.88	197.98	157.33	159.43	148.52	155.54	139.41	Uncharacterised protein family UPF0102
COG0793	848.2	844.19	797.93	1005.45	952.94	873.43	867.49	1004.9	855.13	Belongs to the peptidase S41A family
COG0794	170.07	206.11	167.79	240.57	135.67	133.7	124.5	151.22	108.62	sugar phosphate isomerase involved in capsule formation
COG0795	167.01	272.86	169.62	357.79	247.56	213.27	225.06	260.15	200.08	Permease, YjgP YjgQ family
COG0796	268.83	228.85	255.45	216.28	243.04	267.73	244.71	271.53	259.85	Provides the (R)-glutamate required for cell wall biosynthesis
COG0797	31.81	144.63	64.21	181.8	16.5	20.16	32.42	23.28	20.92	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
COG0798	18.27	4.34	9.11	3.87	8.25	6.82	7.05	12.39	8.16	Psort location CytoplasmicMembrane, score 10.00
COG0799	171.65	198.66	181.96	199.48	158.4	146.42	149.13	161.45	135.41	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation
COG0800	222.08	201.99	230.05	187.99	170.15	201.51	189.67	168.94	187.25	KDPG and KHG aldolase
COG0801	210.45	206.24	186.72	242.05	190.4	170.1	171.18	194.65	173.26	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin
COG0802	211.59	230.28	231.27	240.78	200.88	212.45	199.22	218.26	201.82	Threonylcarbamoyl adenosine biosynthesis protein TsaE
COG0803	126.66	166.03	129.04	193.74	171.32	204.65	187.37	199.45	197.02	Belongs to the bacterial solute-binding protein 9 family
COG0804	22.63	36.67	31.14	22.07	74.23	64.72	71.42	63.42	143.72	Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family
COG0805	92.57	130.48	94.07	176.74	91.94	82.63	76.4	99.44	78.88	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes
COG0806	193.26	164.97	180.9	157.72	197.1	191.65	192.24	203.06	182.86	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes
COG0807	149.48	222.36	182.21	259.55	178.94	136.77	149.6	165.18	160.9	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
COG0809	335.43	338.62	310.64	401.73	361.08	348.78	360.59	372.2	337.43	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)
COG0810	531.88	554.08	467.06	558.81	920.39	810.73	829.03	967.54	835.98	LPXTG-motif cell wall anchor domain protein
COG0811	251.49	485.13	296.77	614.95	312.78	258.33	282.52	329.15	271.97	Domain of unknown function (DUF2341)
COG0812	226.46	294.91	278.65	302.56	214.36	247.02	223.67	250.04	252.91	Cell wall formation
COG0813	46.97	71.39	63.81	48.64	87.96	126.13	94.36	105.88	104.5	purine-nucleoside phosphorylase
COG0814	78.87	42.97	55.73	39.49	23.79	27.89	25.27	19.51	26.75	Amino acid permeases
COG0815	63.68	129.48	97.82	123.56	50.53	55.01	60.74	40.72	69.36	Carbon-nitrogen hydrolase
COG0816	207.55	219.15	202.63	227.33	187.69	212.75	187.84	210.62	196.05	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA
COG0817	148.28	175.64	147.79	202.64	138.63	134.44	141.84	156.71	123.37	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group
COG0818	29.39	41.81	32.4	23.13	27.67	26.3	35.88	32.52	29.84	Prokaryotic diacylglycerol kinase
COG0819	65.32	38.67	56.42	56.98	49.54	94.67	54.91	91.17	34.23	Catalyzes an amino-pyrimidine hydrolysis reaction at the C5' of the pyrimidine moiety of thiamine compounds, a reaction that is part of a thiamine salvage pathway
COG0820	368.48	380.41	364.05	391.56	323.92	332.67	319.5	339.59	315.34	rRNA (adenine-C2-)-methyltransferase activity
COG0821	253.16	280.25	255.04	323.92	244.58	288.48	252.56	281.67	259.23	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
COG0822	223.55	241.76	254.38	236.7	213.05	260.88	234.42	231.8	235.64	Fe-S iron-sulfur cluster assembly protein, NifU family
COG0823	511.21	448.12	438.48	587.7	761.65	721.66	709.47	846.85	642.08	Peptidase M56
COG0824	179.08	282.46	204.89	326.16	229.96	229.89	211.49	259.69	209.19	Psort location Cytoplasmic, score 8.87
COG0825	150.48	106.29	132.35	100.01	114.94	158.01	140.21	131.74	161.1	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA
COG0826	696.82	706.68	710.95	794.96	560.43	639.58	582.4	619.33	609.2	Psort location Cytoplasmic, score
COG0827	2630.52	2380.29	2457.23	2462.03	4006.81	3782.41	4289.33	3549.12	3926.93	DNA restriction-modification system
COG0828	49.55	103.23	70.34	94.65	65.29	75.61	65.59	65.39	47.96	Belongs to the bacterial ribosomal protein bS21 family
COG0829	18.33	27.24	23.85	13.79	63.9	49.92	59.48	55.32	86.57	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter
COG0830	19.05	30.56	26.44	20.05	64.56	46.76	58.66	51.63	94.3	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter
COG0831	7.09	15.5	12.99	9.72	32.34	26.55	32.76	25.46	43.56	Belongs to the urease gamma subunit family
COG0832	13.39	19.53	15.68	14.88	54.21	42.3	43.86	46.27	59.59	Belongs to the urease beta subunit family
COG0833	9	14.76	11.74	7.97	12.32	24.41	12.14	8.48	15.94	Amino acid permease
COG0834	538.92	541.47	549.23	434.58	411.8	482.17	407.48	424.35	525.29	Belongs to the bacterial solute-binding protein 3 family
COG0835	420.79	281.28	371.84	268	302.52	316.17	345.61	282.18	339.34	Two component signalling adaptor domain
COG0836	243.06	254.99	252.51	294.7	287.35	288.16	259.66	324.36	292.81	mannose-1-phosphate guanylyltransferase
COG0837	2.01	2.58	2.22	3.25	3.94	2.92	2.96	4.6	3.84	Belongs to the bacterial glucokinase family
COG0838	53.55	93.07	60.37	118.16	61.95	44.27	53.35	66.35	46.65	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
COG0839	61.48	98.69	63.14	149.01	86.23	66.32	77.94	96	78.59	Belongs to the complex I subunit 6 family
COG0840	3924.63	2641.68	3372.68	2467.35	3615.52	4491.88	3681.75	3921.7	4504.18	methyl-accepting chemotaxis protein
COG0841	858.44	953.51	793.59	1313.61	859.56	866.57	792.82	954.77	831.15	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
COG0842	772.36	788.7	789.33	844.65	577.24	631.5	654.15	607.83	661.24	Psort location CytoplasmicMembrane, score 10.00
COG0843	0.72	1.01	0.41	0.06	1.13	2.46	2.12	3.56	3.92	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B
COG0845	1614.85	1834.6	1626.05	2290.22	1549.05	1618.51	1429.78	1696.05	1526.58	gp58-like protein
COG0846	752.27	662.42	748.41	517.27	632.47	538.66	586.86	582.51	612.73	NAD-dependent lysine deacetylase and desuccinylase that specifically removes acetyl and succinyl groups on target proteins. Modulates the activities of several proteins which are inactive in their acylated form
COG0847	291.81	301.89	278.74	405.01	350.14	271.28	286.85	325.85	260.27	Exonuclease
COG0848	232.63	496.29	289.86	623.1	331.76	292.53	312.67	363.02	276.81	Biopolymer transporter ExbD
COG0849	298.39	355.18	350.81	377.16	290.1	339.28	323.79	321	313.61	cell division protein FtsA
COG0850	122.22	89.53	115.51	73.05	92.8	124.36	90.37	103.87	113.21	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization
COG0851	76.44	55.72	68.01	37.63	45.58	48.71	41.7	45.05	52.66	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell
COG0852	17.52	63.68	28.04	78.84	7.14	10.61	14.43	10.15	12	PFAM NADH dehydrogenase (ubiquinone), 30 kDa subunit
COG0853	75.27	127.6	93	133.18	84.68	78.06	87.45	82	74.3	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine
COG0854	90.45	137.77	88.72	189.02	96.42	91.06	101.51	102.25	87.2	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
COG0855	225.68	258.81	242.55	278.97	179.55	164.35	182.53	154.55	206.09	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)
COG0857	16.83	21.67	16.52	21.24	16.32	19.89	21.34	15.62	16.44	belongs to the CobB CobQ family
COG0858	183.39	209.41	182.07	226.28	189.23	205.55	190.75	206.92	182.96	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA
COG0859	184.76	285.25	211	343.91	158.7	215.66	187.46	210.46	183.66	Glycosyltransferase family 9 (heptosyltransferase)
COG0860	1989.77	1569.44	1838.61	1662.29	1404.29	1442.51	1473.84	1378.17	1662.57	Ami_2
COG0861	25.62	10.22	7.32	2.33	7.91	16.07	15.82	12.43	17.61	Integral membrane protein TerC family
COG0863	944.83	748.36	791.85	738.16	817.17	835.8	1004.24	704.09	1039.56	DNA methylase
COG0864	54.5	41.05	39.2	30.83	33.12	30.26	46.53	23.73	27.97	Peptidase S24-like
COG1001	34.55	51.97	48.43	42.25	38.17	55.76	48.73	41.91	37.83	Belongs to the metallo-dependent hydrolases superfamily. Adenine deaminase family
COG1002	275.41	350.81	266.85	333.56	490.2	467.31	518.71	481.98	402.49	DNA modification
COG1003	84.89	154.4	96.94	217.77	118.78	106.16	106.35	129.4	102.33	Belongs to the GcvP family
COG1004	249.57	289.28	247.2	301.36	471.47	449.94	415.57	503.71	431.02	Belongs to the UDP-glucose GDP-mannose dehydrogenase family
COG1005	76.61	121.93	80.54	173.83	102.59	77.51	90.02	105.25	83.19	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone
COG1006	111.7	78.01	105.43	69.48	90.74	57.83	97.71	63.64	93.4	Phage tail tape measure protein, TP901 family
COG1007	74.07	126.1	78.4	183.75	120.51	90.89	110.75	129.59	103.69	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
COG1008	79.51	125.54	83.41	182.06	116.89	93.96	106.15	130.29	100.83	NADH dehydrogenase
COG1009	256.36	230.2	230.65	285.86	223.58	211.72	206.17	248.9	236.32	oxidoreductase chain L
