ContigID	Length	Type	Taxonomy	Host	Lifestyle
LPd_3__10187	2754	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10205	2521	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10214	2167	non-phage	NA	NA	NA
LPd_3__10215	2436	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	temperate
LPd_3__10219	13179	non-phage	NA	NA	NA
LPd_3__10249	2069	non-phage	NA	NA	NA
LPd_3__1025	6883	non-phage	NA	NA	NA
LPd_3__10281	2540	non-phage	NA	NA	NA
LPd_3__10295	2042	non-phage	NA	NA	NA
LPd_3__10302	2331	non-phage	NA	NA	NA
LPd_3__10325	2545	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10327	4151	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10332	2635	phage	unknown	unknown	virulent
LPd_3__10335	2313	non-phage	NA	NA	NA
LPd_3__1034	12390	non-phage	NA	NA	NA
LPd_3__10342	3862	non-phage	NA	NA	NA
LPd_3__10346	13022	non-phage	NA	NA	NA
LPd_3__10358	4776	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10371	9712	phage	unknown	unknown	temperate
LPd_3__10379	2860	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Salmonella enterica	temperate
LPd_3__10393	12502	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Drexlerviridae	unknown	temperate
LPd_3__10398	3110	phage	unknown	unknown	virulent
LPd_3__10405	2831	phage	unknown	unknown	temperate
LPd_3__10413	8007	non-phage	NA	NA	NA
LPd_3__10429	7710	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	temperate
LPd_3__1045	2997	non-phage	NA	NA	NA
LPd_3__10462	16537	non-phage	NA	NA	NA
LPd_3__10471	10345	non-phage	NA	NA	NA
LPd_3__10488	11830	phage	unknown	unknown	temperate
LPd_3__1050	6050	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10502	5880	non-phage	NA	NA	NA
LPd_3__1051	2838	non-phage	NA	NA	NA
LPd_3__10516	2397	phage	unknown	unknown	virulent
LPd_3__10521	10732	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Dinoroseobacter shibae	temperate
LPd_3__10524	4726	phage	unknown	unknown	temperate
LPd_3__10536	16133	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Kyanoviridae	Croceibacter atlanticus	temperate
LPd_3__10547	10386	phage	unknown	unknown	temperate
LPd_3__10549	3025	non-phage	NA	NA	NA
LPd_3__10563	2356	non-phage	NA	NA	NA
LPd_3__10570	2798	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__10585	10832	non-phage	NA	NA	NA
LPd_3__10586	4953	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10589	8850	non-phage	NA	NA	NA
LPd_3__10594	7207	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10600	3539	phage	unknown	Lachnospiraceae bacterium MD335	temperate
LPd_3__10606	3636	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10608	3867	phage	unknown	unknown	virulent
LPd_3__10621	4610	non-phage	NA	NA	NA
LPd_3__10645	2886	non-phage	NA	NA	NA
LPd_3__10649	3496	non-phage	NA	NA	NA
LPd_3__10658	2963	phage	unknown	unknown	virulent
LPd_3__10667	8626	phage	unknown	Microcystis aeruginosa	virulent
LPd_3__10670	3618	phage	unknown	unknown	temperate
LPd_3__10671	18567	non-phage	NA	NA	NA
LPd_3__10676	3029	non-phage	NA	NA	NA
LPd_3__1068	3085	non-phage	NA	NA	NA
LPd_3__10686	2717	phage	unknown	unknown	temperate
LPd_3__10690	6227	non-phage	NA	NA	NA
LPd_3__10713	4202	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10730	21464	non-phage	NA	NA	NA
LPd_3__10733	25811	non-phage	NA	NA	NA
LPd_3__10742	3670	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10749	14790	phage	unknown	Microcystis aeruginosa	virulent
LPd_3__10783	2343	non-phage	NA	NA	NA
LPd_3__10785	7389	phage	unknown	unknown	virulent
LPd_3__10813	10549	non-phage	NA	NA	NA
LPd_3__10825	2476	phage	unknown	unknown	virulent
LPd_3__10835	64067	non-phage	NA	NA	NA
LPd_3__10852	6460	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	virulent
LPd_3__10853	2577	phage	unknown	unknown	temperate
LPd_3__10872	2320	non-phage	NA	NA	NA
LPd_3__10876	2056	non-phage	NA	NA	NA
LPd_3__10878	10123	non-phage	NA	NA	NA
LPd_3__1088	5252	non-phage	NA	NA	NA
LPd_3__10881	3853	non-phage	NA	NA	NA
LPd_3__10883	2791	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__10889	2048	non-phage	NA	NA	NA
LPd_3__10891	2167	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10893	5280	non-phage	NA	NA	NA
LPd_3__1090	16795	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Schitoviridae	Colwellia psychrerythraea	temperate
LPd_3__10906	8264	phage	unknown	Dinoroseobacter shibae	temperate
LPd_3__10912	3848	non-phage	NA	NA	NA
LPd_3__10916	2913	phage	unknown	unknown	temperate
LPd_3__10924	3553	non-phage	NA	NA	NA
LPd_3__10927	8768	phage	unknown	unknown	virulent
LPd_3__1093	3037	non-phage	NA	NA	NA
LPd_3__10949	6167	phage	unknown	unknown	temperate
LPd_3__10950	2595	non-phage	NA	NA	NA
LPd_3__10956	2473	non-phage	NA	NA	NA
LPd_3__10959	2651	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10970	15534	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__10981	8157	phage	unknown	Pseudomonas aeruginosa	temperate
LPd_3__10991	2523	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__10993	2110	phage	unknown	unknown	virulent
LPd_3__11001	6268	phage	unknown	unknown	virulent
LPd_3__11004	5208	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__11007	2115	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__11028	6925	non-phage	NA	NA	NA
LPd_3__11030	35496	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Colwellia psychrerythraea	virulent
LPd_3__11039	2577	phage	unknown	unknown	temperate
LPd_3__11041	3022	non-phage	NA	NA	NA
LPd_3__11075	5724	non-phage	NA	NA	NA
LPd_3__1108	2092	phage	unknown	unknown	temperate
LPd_3__11082	2165	non-phage	NA	NA	NA
LPd_3__11085	4988	non-phage	NA	NA	NA
LPd_3__11086	5715	non-phage	NA	NA	NA
LPd_3__11093	2114	non-phage	NA	NA	NA
LPd_3__11102	5276	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Demerecviridae	unknown	virulent
LPd_3__11103	17663	non-phage	NA	NA	NA
LPd_3__11108	3649	phage	unknown	unknown	temperate
LPd_3__11127	41683	phage	unknown	Paenibacillus larvae	temperate
LPd_3__11129	3401	non-phage	NA	NA	NA
LPd_3__11134	10455	phage	unknown	unknown	temperate
LPd_3__11138	6439	non-phage	NA	NA	NA
LPd_3__11139	10712	non-phage	NA	NA	NA
LPd_3__11145	8424	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__11160	3710	phage	unknown	unknown	temperate
LPd_3__1122	5357	phage	no_family_avaliable(NC_062779)	unknown	virulent
LPd_3__1128	3759	non-phage	NA	NA	NA
LPd_3__1144	3244	non-phage	NA	NA	NA
LPd_3__116	2014	non-phage	NA	NA	NA
LPd_3__1172	16858	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	temperate
LPd_3__1179	3264	non-phage	NA	NA	NA
LPd_3__1188	27528	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	unknown	virulent
LPd_3__1200	2058	non-phage	NA	NA	NA
LPd_3__1201	2176	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Serratia marcescens	temperate
LPd_3__1204	2094	non-phage	NA	NA	NA
LPd_3__1208	3666	non-phage	NA	NA	NA
LPd_3__1224	7028	non-phage	NA	NA	NA
LPd_3__1225	5670	phage	unknown	Desulfovibrio sp. OH1186_COT-070	temperate
LPd_3__1226	8962	non-phage	NA	NA	NA
LPd_3__1227	59244	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Alteromonas macleodii	virulent
LPd_3__1242	2770	non-phage	NA	NA	NA
LPd_3__1249	2526	phage	unknown	Helicobacter japonicus	virulent
LPd_3__1253	13977	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Guelinviridae	unknown	temperate
LPd_3__1261	2882	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1262	3862	non-phage	NA	NA	NA
LPd_3__1265	12023	phage	unknown	Candidatus Pelagibacter ubique	temperate
LPd_3__1271	17496	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Colwellia psychrerythraea	temperate
LPd_3__1277	2743	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1282	2371	phage	unknown	unknown	temperate
LPd_3__1291	2133	non-phage	NA	NA	NA
LPd_3__1297	2046	phage	unknown	unknown	virulent
LPd_3__130	2123	non-phage	NA	NA	NA
LPd_3__1309	3767	non-phage	NA	NA	NA
LPd_3__1311	3999	non-phage	NA	NA	NA
LPd_3__1317	6306	non-phage	NA	NA	NA
LPd_3__1355	4916	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1361	27792	non-phage	NA	NA	NA
LPd_3__1366	8653	phage	unknown	unknown	virulent
LPd_3__1376	2084	non-phage	NA	NA	NA
LPd_3__1382	4414	non-phage	NA	NA	NA
LPd_3__1386	12714	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__1403	12651	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Colwellia psychrerythraea	virulent
LPd_3__1410	33539	non-phage	NA	NA	NA
LPd_3__1419	2798	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1427	15069	non-phage	NA	NA	NA
LPd_3__1439	6582	non-phage	NA	NA	NA
LPd_3__1457	3004	non-phage	NA	NA	NA
LPd_3__1461	5509	non-phage	NA	NA	NA
LPd_3__1467	2373	non-phage	NA	NA	NA
LPd_3__1474	2263	phage	unknown	unknown	temperate
LPd_3__1476	3117	non-phage	NA	NA	NA
LPd_3__1496	32838	non-phage	NA	NA	NA
LPd_3__1497	10872	non-phage	NA	NA	NA
LPd_3__1502	9416	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1508	5370	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1529	5827	non-phage	NA	NA	NA
LPd_3__1563	20668	phage	unknown	Dinoroseobacter shibae	temperate
LPd_3__1569	14888	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1573	11753	non-phage	NA	NA	NA
LPd_3__1598	2986	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1607	9368	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	unknown	virulent
LPd_3__161	2234	non-phage	NA	NA	NA
LPd_3__1619	25380	phage	unknown	Clostridioides difficile	temperate
LPd_3__1620	2068	non-phage	NA	NA	NA
LPd_3__1622	2975	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1633	20414	non-phage	NA	NA	NA
LPd_3__164	2468	phage	unknown	unknown	virulent
LPd_3__1640	3587	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Zobellviridae	unknown	virulent
LPd_3__1644	2094	phage	unknown	unknown	temperate
LPd_3__1656	87265	non-phage	NA	NA	NA
LPd_3__1659	6968	non-phage	NA	NA	NA
LPd_3__1660	2496	non-phage	NA	NA	NA
LPd_3__1668	3403	phage	unknown	unknown	virulent
LPd_3__1669	2151	non-phage	NA	NA	NA
LPd_3__1673	2728	phage	unknown	unknown	temperate
LPd_3__1680	3192	non-phage	NA	NA	NA
LPd_3__1684	6553	non-phage	NA	NA	NA
LPd_3__1697	2792	non-phage	NA	NA	NA
LPd_3__170	2443	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1708	3926	phage	unknown	unknown	temperate
LPd_3__1721	5931	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	unknown	temperate
LPd_3__1726	3248	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Colwellia psychrerythraea	temperate
LPd_3__1737	2063	phage	unknown	unknown	virulent
LPd_3__1758	6075	phage	unknown	unknown	virulent
LPd_3__1760	2498	non-phage	NA	NA	NA
LPd_3__1774	3475	non-phage	NA	NA	NA
LPd_3__1800	11888	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1811	2861	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__1816	4892	non-phage	NA	NA	NA
LPd_3__1821	4038	phage	unknown	Bacteroides plebeius	virulent
LPd_3__1822	4373	non-phage	NA	NA	NA
LPd_3__1840	7205	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__1858	3239	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__189	2952	phage	unknown	unknown	temperate
LPd_3__1902	4183	non-phage	NA	NA	NA
LPd_3__1913	3674	non-phage	NA	NA	NA
LPd_3__193	5026	non-phage	NA	NA	NA
LPd_3__1930	2742	non-phage	NA	NA	NA
LPd_3__1937	9370	phage	unknown	unknown	temperate
LPd_3__1940	17994	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Colwellia psychrerythraea	virulent
LPd_3__1943	2276	non-phage	NA	NA	NA
LPd_3__195	2467	non-phage	NA	NA	NA
LPd_3__1957	21176	non-phage	NA	NA	NA
LPd_3__1977	8657	non-phage	NA	NA	NA
LPd_3__199	3030	phage	unknown	unknown	virulent
LPd_3__1996	2637	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2004	33941	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__201	3721	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Zierdtviridae	unknown	virulent
LPd_3__2011	2491	phage	unknown	unknown	virulent
LPd_3__2015	12989	non-phage	NA	NA	NA
LPd_3__2018	4519	non-phage	NA	NA	NA
LPd_3__2034	30789	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Flavobacterium columnare	temperate
LPd_3__2049	18192	phage	unknown	Lactobacillus plantarum	temperate
LPd_3__2053	3338	non-phage	NA	NA	NA
LPd_3__2057	4636	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Lactobacillus fermentum	temperate
LPd_3__207	5933	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	temperate
LPd_3__2077	39968	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Prochlorococcus marinus	temperate
LPd_3__2079	7043	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	unknown	virulent
LPd_3__209	3869	non-phage	NA	NA	NA
LPd_3__2095	6877	non-phage	NA	NA	NA
LPd_3__2098	10809	non-phage	NA	NA	NA
LPd_3__2102	4377	non-phage	NA	NA	NA
LPd_3__2116	2284	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2119	2823	non-phage	NA	NA	NA
LPd_3__2126	2940	phage	unknown	unknown	temperate
LPd_3__2128	5445	phage	unknown	unknown	temperate
LPd_3__2130	2194	phage	unknown	unknown	temperate
LPd_3__215	5700	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2155	9327	non-phage	NA	NA	NA
LPd_3__216	2889	non-phage	NA	NA	NA
LPd_3__2173	15633	non-phage	NA	NA	NA
LPd_3__218	3650	phage	unknown	unknown	temperate
LPd_3__2184	8095	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Colwellia psychrerythraea	virulent
LPd_3__2186	3383	non-phage	NA	NA	NA
LPd_3__2187	2101	non-phage	NA	NA	NA
LPd_3__219	3747	non-phage	NA	NA	NA
LPd_3__2196	5104	phage	unknown	unknown	temperate
LPd_3__2229	30486	phage	unknown	Lactobacillus fermentum	temperate
LPd_3__223	5293	phage	unknown	Lactobacillus fermentum	virulent
LPd_3__2244	31119	phage	unknown	unknown	virulent
LPd_3__2250	6434	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	temperate
LPd_3__2251	2809	phage	unknown	Dinoroseobacter shibae	temperate
LPd_3__2252	8383	phage	unknown	Lactobacillus fermentum	virulent
LPd_3__2254	2186	non-phage	NA	NA	NA
LPd_3__2264	2385	non-phage	NA	NA	NA
LPd_3__2265	3973	non-phage	NA	NA	NA
LPd_3__2273	2373	non-phage	NA	NA	NA
LPd_3__2301	5213	non-phage	NA	NA	NA
LPd_3__2304	2643	non-phage	NA	NA	NA
LPd_3__2311	4001	non-phage	NA	NA	NA
LPd_3__2319	2235	non-phage	NA	NA	NA
LPd_3__2320	2553	non-phage	NA	NA	NA
LPd_3__2325	2959	non-phage	NA	NA	NA
LPd_3__2335	9511	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__234	8348	phage	unknown	Clostridium tetani	temperate
LPd_3__2347	5289	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__235	2769	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__2377	2719	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Colwellia psychrerythraea	temperate
LPd_3__2392	7839	non-phage	NA	NA	NA
LPd_3__2403	3652	non-phage	NA	NA	NA
LPd_3__2427	3324	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2447	8050	non-phage	NA	NA	NA
LPd_3__2456	2781	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Colwellia psychrerythraea	virulent
LPd_3__2459	40010	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Lactococcus lactis	virulent
LPd_3__2460	6469	phage	unknown	unknown	temperate
LPd_3__2475	53517	non-phage	NA	NA	NA
LPd_3__2481	2069	non-phage	NA	NA	NA
LPd_3__2487	7889	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Kyanoviridae	unknown	temperate
LPd_3__2502	3886	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	virulent
LPd_3__251	5499	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	virulent
LPd_3__2524	2519	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2533	3974	phage	unknown	Eisenbergiella massiliensis	temperate
LPd_3__2534	7732	phage	unknown	Faecalibaculum rodentium	virulent
LPd_3__2535	2195	non-phage	NA	NA	NA
LPd_3__2538	5897	non-phage	NA	NA	NA
LPd_3__2541	12489	non-phage	NA	NA	NA
LPd_3__255	3329	phage	unknown	unknown	temperate
LPd_3__2554	7738	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Autographiviridae	Candidatus Pelagibacter ubique	temperate
LPd_3__2555	13757	non-phage	NA	NA	NA
LPd_3__2557	2234	non-phage	NA	NA	NA
LPd_3__256	4694	non-phage	NA	NA	NA
LPd_3__257	5144	phage	unknown	Clostridium perfringens	temperate
LPd_3__2579	2586	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__2582	2454	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2583	5933	non-phage	NA	NA	NA
LPd_3__2584	2131	phage	unknown	Dinoroseobacter shibae	temperate
LPd_3__2597	3462	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__2611	2134	phage	unknown	[Clostridium] bolteae	temperate
LPd_3__2620	2320	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2624	2142	non-phage	NA	NA	NA
LPd_3__2645	5707	non-phage	NA	NA	NA
LPd_3__2646	4034	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__266	2463	non-phage	NA	NA	NA
LPd_3__2673	5769	non-phage	NA	NA	NA
LPd_3__2682	2550	non-phage	NA	NA	NA
LPd_3__2701	6338	non-phage	NA	NA	NA
LPd_3__2716	15402	non-phage	NA	NA	NA
LPd_3__2726	5013	phage	unknown	Candidatus Pelagibacter ubique	virulent
LPd_3__2734	2169	non-phage	NA	NA	NA
LPd_3__2738	2770	non-phage	NA	NA	NA
LPd_3__2740	2232	non-phage	NA	NA	NA
LPd_3__276	11709	non-phage	NA	NA	NA
LPd_3__2764	2271	non-phage	NA	NA	NA
LPd_3__2798	3372	non-phage	NA	NA	NA
LPd_3__2824	4972	phage	unknown	unknown	temperate
LPd_3__2830	2890	phage	unknown	unknown	virulent
LPd_3__2844	4198	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	unknown	virulent
LPd_3__2845	8624	non-phage	NA	NA	NA
LPd_3__285	5208	non-phage	NA	NA	NA
LPd_3__2850	5316	non-phage	NA	NA	NA
LPd_3__2855	28975	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_3__286	11329	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2863	2664	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2873	2998	phage	unknown	unknown	virulent
LPd_3__2886	2252	non-phage	NA	NA	NA
LPd_3__2891	2867	phage	unknown	unknown	virulent
LPd_3__2906	9734	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Demerecviridae	unknown	virulent
LPd_3__2907	16444	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Lactobacillus fermentum	virulent
LPd_3__2941	2670	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__2960	11113	phage	unknown	unknown	temperate
LPd_3__2967	5399	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2971	18326	non-phage	NA	NA	NA
LPd_3__2989	2624	non-phage	NA	NA	NA
LPd_3__2997	3803	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__2998	2031	phage	unknown	unknown	temperate
LPd_3__3001	4252	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3010	6180	non-phage	NA	NA	NA
LPd_3__3011	2816	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Guelinviridae	unknown	virulent
LPd_3__3012	7650	non-phage	NA	NA	NA
LPd_3__3014	3035	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3016	5939	non-phage	NA	NA	NA
LPd_3__3025	5235	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__3028	2225	non-phage	NA	NA	NA
LPd_3__3030	13186	non-phage	NA	NA	NA
LPd_3__3042	8999	non-phage	NA	NA	NA
LPd_3__3051	4737	non-phage	NA	NA	NA
LPd_3__3056	4116	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__3057	38438	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Lactobacillus fermentum	temperate
LPd_3__306	2109	non-phage	NA	NA	NA
LPd_3__3061	34805	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Lactobacillus fermentum	virulent
LPd_3__3064	100480	non-phage	NA	NA	NA
LPd_3__3080	2832	phage	unknown	unknown	temperate
LPd_3__3084	2745	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3085	7516	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	temperate
LPd_3__311	2050	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3112	19530	non-phage	NA	NA	NA
LPd_3__3114	89135	non-phage	NA	NA	NA
LPd_3__3117	4563	non-phage	NA	NA	NA
LPd_3__3119	4954	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3147	33755	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Rhodanobacter sp. Root561	temperate
LPd_3__3152	5113	phage	unknown	Lactococcus lactis	virulent
LPd_3__3157	10326	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Herelleviridae	unknown	temperate
LPd_3__3160	7504	phage	unknown	unknown	virulent
LPd_3__3169	4860	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3180	3182	phage	unknown	unknown	temperate
LPd_3__3184	11071	non-phage	NA	NA	NA
LPd_3__3204	2073	non-phage	NA	NA	NA
LPd_3__3214	4544	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3217	6381	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__323	3546	phage	unknown	unknown	temperate
LPd_3__3241	13328	non-phage	NA	NA	NA
LPd_3__3245	10357	non-phage	NA	NA	NA
LPd_3__3248	4041	non-phage	NA	NA	NA
LPd_3__3252	2386	non-phage	NA	NA	NA
LPd_3__3260	33721	phage	unknown	Lactobacillus fermentum	temperate
LPd_3__3268	16677	phage	unknown	Colwellia psychrerythraea	temperate
LPd_3__3292	6290	phage	unknown	unknown	virulent
LPd_3__3296	2543	non-phage	NA	NA	NA
LPd_3__3322	4624	non-phage	NA	NA	NA
LPd_3__3324	2845	phage	unknown	unknown	temperate
LPd_3__3333	3751	phage	unknown	unknown	virulent
LPd_3__3348	2983	non-phage	NA	NA	NA
LPd_3__3359	5168	phage	unknown	Colwellia psychrerythraea	virulent
LPd_3__3363	8141	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Schitoviridae	Lactococcus lactis	temperate
LPd_3__3366	2147	phage	unknown	unknown	temperate
LPd_3__3370	5341	non-phage	NA	NA	NA
LPd_3__3373	3778	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	temperate
LPd_3__3389	41270	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	temperate
